"NombreCat","CodTip","Cantidad","Total"
"AMBIENTADORES                                     ",201610,1,40.9
"GOLOSINAS - GALLETAS                              ",201610,6,261.7252
"DESINFECTANTES                                    ",201610,1,28.5
"GOLOSINAS - CHOCOLATES                            ",201610,1,42.36
"ENSERES DE LIMPIEZA                               ",201610,3,155.59
"SUAVIZANTES                                       ",201610,12,0
"SERVILLETAS Y PAPEL TOALLA                        ",201610,30,931.1616
"MAQUINAS Y ESPUMAS DE AFEITAR                     ",201610,162,1786.010002
"CEREALES Y DERIVADOS DE LA SOYA                   ",201610,44,1309.29
"ARTICULOS PARA BEBE                               ",201610,15,913.674
"MERMELADAS                                        ",201610,10,359.13
"CONSERVAS DE PESCADOS                             ",201610,2,229.829999
"DESODORANTES                                      ",201610,1,0
"FIDEOS Y PASTAS                                   ",201610,150,2127.440001
"DETERGENTES                                       ",201610,20,2406.87
"YOGURT                                            ",201610,218,2200.5736
"PANES Y KEKES                                     ",201610,149,423.809999
"BEBIDAS GASEOSAS                                  ",201610,28,107.7856
"REHIDRATANTES                                     ",201610,11,92.277799
"EMBUTIDOS                                         ",201610,376,559.655605
"AVENAS                                            ",201610,4,324.57
"CERVEZAS                                          ",201610,12,172.810001
"MIEL DE ABEJA                                     ",201610,12,45.4816
"REFRESCOS                                         ",201610,3,161.600001
"PAPEL HIGIENICO                                   ",201610,3800,26979.78
"ENJUAGUES DE ROPA                                 ",201610,7,624.43
"SERVILLETAS Y PAPEL TOALLA                        ",201611,5,247.0684
"REHIDRATANTES                                     ",201611,3,29.9956
"ACEITES                                           ",201611,300,15619.43
"YOGURT                                            ",201611,205,3714.315201
"PANES Y KEKES                                     ",201611,75,339.756999
"GOLOSINAS - CARAMELOS                             ",201611,37,590.960001
"COMIDAS INSTANTANEAS                              ",201611,18,102.3
"GOLOSINAS - GALLETAS                              ",201611,185,1715.679401
"ENJUAGUES DE ROPA                                 ",201611,8,280.01
"PAPEL HIGIENICO                                   ",201611,100,3685.14
"ARTICULOS DE LIMPIEZA                             ",201611,1,64.06
"HELADOS                                           ",201611,4,127.829999
"DESODORANTES                                      ",201611,2,248.2838
"OTROS",201611,15,11904.830002
"HUEVOS                                            ",201611,20,125.399999
"CEREALES Y DERIVADOS DE LA SOYA                   ",201611,3,38.66
"POSTRES VARIOS                                    ",201611,4,103.7068
"ENSERES DE LIMPIEZA                               ",201611,50,87.32
"JABON DE TOCADOR                                  ",201611,82,301.139999
"MANTEQUILLAS Y MARGARINAS                         ",201611,50,1711.08
"PAÑALES                                           ",201611,80,4895.51
"FIDEOS Y PASTAS                                   ",201611,200,292.84445
"CONSERVAS DE PESCADOS                             ",201611,50,8499.58
"GELATINAS                                         ",201611,1,141.4702
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201611,21,172.221
"GOLOSINAS - CHOCOLATES                            ",201611,1,58.5
"JUGOS                                             ",201611,11,128.9618
"AGUA MINERAL                                      ",201611,43,380.970201
"BEBIDAS GASEOSAS                                  ",201611,83,1294.703599
"CONSERVAS DE FRUTAS Y VERDURAS                    ",201611,60,177.507402
"CERVEZAS                                          ",201611,17,336.09
"VINOS                                             ",201611,28,8.653512
"DETERGENTES                                       ",201611,22,1984.0254
"BOCADITOS                                         ",201611,60,313.915402
"COCOAS Y CHOCOLATES                               ",201611,14,3138.83
"WHISKY                                            ",201611,48,3432
"JUGOS                                             ",201612,31,617.035199
"CONDIMENTOS Y VINAGRES                            ",201612,28,1136.35
"GOLOSINAS - MARSHMALLOWS                          ",201612,75,139.68
"GOLOSINAS                                         ",201612,120,412.750005
"OTROS",201612,14,1132.850001
"CAFE                                              ",201612,2,804.288
"LECHE Y DERIVADOS                                 ",201612,6,25.900001
"DENTRIFICOS Y ENJUAGUES BUCALES                   ",201612,2,0
"BOCADITOS                                         ",201612,133,878.048399
"HELADOS                                           ",201612,2,75.69
"PANETONES                                         ",201612,360,19784.61
"SALSAS - CREMAS                                   ",201612,15,780.31
"ARROZ EMBOLSADO                                   ",201612,2,138
